addr,web_add,company_info,company,pay,jobname
北京,https://jobs.51job.com/all/co3453889.html,"1. 参与公司级公共技术平台的技术设计、开发和优化；,2. 负责公司核心业务工具的技术设计、开发和优化；,3. 制定接口规范，编写技术文档等。,任职资格:,1.大学本科以上学历，三年以上软件开发经验。,2.精通Python、Node.js 、PHP 或者java几种语言中的一种或多种，编写的大部分代码符合权威代码规范，具有较高的健壮性、可读性和可扩展性；,3.熟练掌握一种以上IDE的开发环境，可以解决自己和他人遇到的IDE环境问题；熟练使用SVN、Git等代码管理工具。,4.能够快速、高效地完成开发任务，且代码没有明显的bug；开发过程中能够有意识地考虑边界条件的校验和处理；,5.熟悉数据库开发，具有MySQL 或者 SQLServer、Oracle数据库开发经验，同时也具有一定的NoSQL数据库开发经验。,6.有爬虫开发相关经验者优先。,7.思维缜密，心思细腻，逻辑性较强者优先。",北京译泰教育科技有限公司,1.5-2万/月,平台工具研发工程师（python、java、php）
北京-海淀区,https://jobs.51job.com/all/co1339312.html,"岗位职责：,1. 安全云平台研发。,2. 互联网安全产品研发。,3. 经过公司岗位培训后，能快速学习Python和Golang开发语言，与C语言配合开发云平台。,4. 快速学习安全云计算业务内容，理解并掌握，以运用到实际业务模块开发中。,5. 快速学习公司云平台开发框架，理解并熟练使用，以开发相关业务模块。,6. 基于Openstack开发和部署相关分布式网络操作系统，云计算管理平台。,注：根据任务分工，各自完成以上部分相关工作。,职位要求：,1. 应届计算机及通信专业专科以上学历。（实习生如果自学能力强也可放宽此条件。在社会又参加完C/C++、Python培训的亦可）,2. 大学其间，基于C/C++、Python的算法及数据结构学的扎实，开发过较复杂的业务逻辑模块。如果有实力或毕业设计等作品，可以带作品面试。,3. 在大学学习有其它文体特长，品学兼优者优先录用。,4. 有成熟的毕业设计和实习作品，且真实为本人实操，深入理解和运用。且较符合当前岗位需要的经验、算法亦优先录用。,5. 对云计算、互联网安全、容器即云、Openstack、底层通信协议、分式计计算有强烈的学习兴趣，愿意未来投入全部精力深入钻研。,福利待遇：,一、工作环境舒适，氛围民主；,二、健全的福利保障：社会保险（养老、医疗、失业、工伤、生育）；,三、提供良好的晋升机会；,四、工作五天制，每天8小时，9：00-18： 00，节假日按国家规定；,五、公司不定期组织各种文体活动等；,六、公司年度旅游；,七、职业发展：公司提供良好的发展空间和平台，职位内纵向晋升通道。",北京傲盾软件有限责任公司,0.6-1.2万/月,Python/Golang/Linux C/中高级研发工程师
北京-海淀区,https://jobs.51job.com/all/co4454650.html,,会找房（北京）网络技术有限公司,1.5-3万/月,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co4454650.html,,会找房（北京）网络技术有限公司,1.5-3万/月,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co1314481.html,,北京中科同向信息技术有限公司,1-2万/月,Python开发工程师
北京,https://jobs.51job.com/all/co1245844.html,,北京芝华安方体育文化有限公司,0.6-1.5万/月,Python开发工程师
北京,https://jobs.51job.com/all/co3389785.html,,北京中宇华兴科技有限公司,0.8-1万/月,Python开发工程师
北京,https://jobs.51job.com/all/co3389785.html,,北京中宇华兴科技有限公司,0.8-1万/月,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co4424636.html,,雷象科技（北京）有限公司,1.5-2万/月,python高级工程师
北京-海淀区,https://jobs.51job.com/all/co4424636.html,,雷象科技（北京）有限公司,1.5-2万/月,python高级工程师
北京-海淀区,https://jobs.51job.com/all/co4424636.html,,雷象科技（北京）有限公司,1.5-2万/月,python高级工程师
